36.92.116.26,8080,anonymous,yes
85.175.216.32,53281,elite proxy,yes
95.158.6.243,46399,elite proxy,yes
91.202.240.208,51678,anonymous,yes
200.77.147.78,8080,elite proxy,yes
119.81.71.27,8123,elite proxy,no
43.245.202.15,57396,elite proxy,no
169.57.1.85,80,elite proxy,no
190.5.225.178,53570,elite proxy,no
52.67.138.66,80,anonymous,no
119.82.253.210,42379,elite proxy,no
47.90.124.245,8888,anonymous,yes
82.207.41.135,55126,elite proxy,yes
188.40.183.185,1080,elite proxy,yes
159.138.3.119,80,anonymous,no
88.99.10.250,1080,elite proxy,yes
148.251.153.6,1080,elite proxy,yes
5.189.133.231,80,elite proxy,no
119.81.199.83,8123,elite proxy,no
85.10.219.103,1080,elite proxy,yes
185.134.23.198,80,anonymous,no
103.216.82.206,6666,elite proxy,no
186.229.25.18,8080,elite proxy,no
200.106.55.125,80,elite proxy,yes
195.248.243.139,8080,elite proxy,no
144.76.214.157,1080,elite proxy,yes
110.232.74.233,55609,elite proxy,no
167.86.66.178,3128,elite proxy,yes
200.73.128.86,80,anonymous,no
81.163.36.210,34197,elite proxy,no
180.252.181.3,80,elite proxy,no
197.211.245.50,53281,elite proxy,no
186.219.210.222,35663,elite proxy,no
80.187.140.26,8080,elite proxy,no
194.58.182.73,41258,elite proxy,no
186.225.45.13,45974,elite proxy,no
181.40.84.38,49674,elite proxy,no
110.50.84.231,52727,elite proxy,no
91.230.44.133,3128,elite proxy,no
83.18.150.53,3128,anonymous,no
109.172.43.35,3129,elite proxy,no
180.179.98.22,3128,elite proxy,no
43.248.24.158,51166,elite proxy,no
60.251.33.224,80,anonymous,no
191.98.184.126,57800,elite proxy,no
200.199.114.226,33932,elite proxy,no
189.92.3.180,8080,transparent,no
165.16.32.1,8080,transparent,no
46.249.123.146,3128,anonymous,yes
188.209.253.222,8080,anonymous,yes
89.22.210.191,41258,anonymous,yes
128.199.238.162,44344,elite proxy,yes
91.67.240.32,3128,anonymous,yes
3.90.214.137,80,elite proxy,yes
188.136.207.184,8080,anonymous,yes
180.180.137.213,8213,anonymous,yes
208.163.39.218,53281,anonymous,yes
117.196.239.65,7999,elite proxy,yes
190.111.231.8,8080,anonymous,yes
91.216.66.70,32306,anonymous,yes
195.138.73.54,47108,anonymous,yes
181.117.176.236,61358,anonymous,yes
103.106.114.134,8080,anonymous,yes
136.25.2.43,40614,anonymous,yes
212.57.43.16,36044,elite proxy,no
191.252.219.225,8080,anonymous,no
191.252.100.178,80,anonymous,no
104.148.76.186,3128,elite proxy,no
212.220.216.70,8080,anonymous,no
83.18.150.54,3128,anonymous,no
222.121.116.26,40618,elite proxy,no
212.95.180.50,53281,elite proxy,no
1.20.103.196,42792,elite proxy,no
117.252.64.207,39966,elite proxy,no
202.62.45.53,34655,elite proxy,no
102.164.212.189,59538,transparent,no
68.183.208.248,80,anonymous,no
95.9.194.13,56726,elite proxy,no
89.107.56.56,8080,elite proxy,yes
103.250.166.4,6666,elite proxy,no
113.53.230.167,80,anonymous,no
185.89.0.209,34927,transparent,no
14.38.255.45,80,elite proxy,no
119.81.199.84,8123,elite proxy,no
104.148.76.141,3128,elite proxy,no
104.148.76.148,3128,elite proxy,no
82.200.233.4,3128,elite proxy,yes
144.76.214.153,1080,elite proxy,yes
190.103.178.15,8080,anonymous,no
173.192.128.238,25,elite proxy,no
117.222.63.131,8888,elite proxy,yes
187.87.38.28,53281,elite proxy,yes
200.186.53.102,58855,elite proxy,no
104.148.76.149,3128,elite proxy,no
104.148.76.173,3128,elite proxy,no
191.97.41.202,23500,elite proxy,no
47.244.126.160,8081,anonymous,no
45.6.120.126,43374,elite proxy,no
128.199.252.41,44344,elite proxy,no
104.148.76.138,3128,elite proxy,no
103.116.203.242,43520,elite proxy,yes
118.175.207.25,38325,anonymous,yes
8.9.36.204,5069,anonymous,yes
5.141.86.107,55528,anonymous,yes
118.174.220.61,60070,elite proxy,yes
188.209.233.88,8080,transparent,no
178.130.107.118,8080,transparent,no
45.70.193.193,8080,transparent,no
134.35.204.244,8080,transparent,no
118.174.95.210,8080,transparent,no
36.68.83.42,3128,transparent,no
36.68.83.202,8080,transparent,no
134.35.176.52,8080,transparent,no
195.94.177.24,8080,transparent,no
190.103.178.13,8080,anonymous,no
79.152.251.136,8080,elite proxy,yes
182.53.206.44,45900,elite proxy,no
186.248.170.82,53281,elite proxy,no
103.81.114.182,53281,elite proxy,no
