,id,title,href,price_50_average
135,FMFEX,Fidelity Advisor Materials Fund Class I,/quote/FMFEX?p=FMFEX,52.82
136,BPAVX,Boston Partners All Cap Value Fund Investor Class,/quote/BPAVX?p=BPAVX,20.17
137,FMFTX,Fidelity Advisor Materials Fund Class M,/quote/FMFTX?p=FMFTX,52.19
138,FMFAX,Fidelity Advisor Materials Fund Class A,/quote/FMFAX?p=FMFAX,52.69
139,CCVAX,Calvert Small-Cap Fund Class A,/quote/CCVAX?p=CCVAX,20.27
140,DHLAX,Diamond Hill Large Cap Fund Class A,/quote/DHLAX?p=DHLAX,22.09
141,FETKX,Fidelity Equity Dividend Income Fund Class K,/quote/FETKX?p=FETKX,19.52
142,FBIOX,Fidelity Select Biotechnology Portfolio,/quote/FBIOX?p=FBIOX,18.95
143,ATSMX,AQR TM Small Cap Momentum Style Fund Class I,/quote/ATSMX?p=ATSMX,15.05
144,TRSSX,T. Rowe Price Institutional Small-Cap Stock Fund,/quote/TRSSX?p=TRSSX,19.58
145,CSCCX,Calvert Small-Cap Fund Class C,/quote/CSCCX?p=CSCCX,17.22
146,DHLYX,Diamond Hill Large Cap Fund Class Y,/quote/DHLYX?p=DHLYX,22.27
147,ASMOX,AQR Small Cap Momentum Style Fund Class I,/quote/ASMOX?p=ASMOX,14.70
148,HQIIX,The Hartford Equity Income Fund Class I,/quote/HQIIX?p=HQIIX,15.65
149,OTCFX,T. Rowe Price Small-Cap Stock Fund,/quote/OTCFX?p=OTCFX,40.02
150,OTIIX,T. Rowe Price Small-Cap Stock Fund I Class,/quote/OTIIX?p=OTIIX,40.04
151,WGROX,Wasatch Core Growth Fund,/quote/WGROX?p=WGROX,56.39
152,CCALX,Conestoga Small Cap Institutional Class,/quote/CCALX?p=CCALX,49.52
153,PASSX,T. Rowe Price Small-Cap Stock Fund Advisor Class,/quote/PASSX?p=PASSX,39.59
154,CSRYX,Columbia Select Large Cap Value Fund Institutional 3 Class,/quote/CSRYX?p=CSRYX,20.17
155,TCVIX,Touchstone Mid Cap Value Institutional Class,/quote/TCVIX?p=TCVIX,14.51
156,RPTIX,T. Rowe Price Mid-Cap Growth Fund I Class,/quote/RPTIX?p=RPTIX,76.19
