abbrivate_funds,funds_title,stock_title,stock_href,abbrivate_stock,holding,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),Markel Corp,/quote/MKL?p=MKL,MKL,3.89%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),American Tower Corp,/quote/AMT?p=AMT,AMT,11.10%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),Mastercard Inc A,/quote/MA?p=MA,MA,10.66%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),Moody's Corporation,/quote/MCO?p=MCO,MCO,10.33%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),Visa Inc Class A,/quote/V?p=V,V,7.55%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),CarMax Inc,/quote/KMX?p=KMX,KMX,5.02%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),O'Reilly Automotive Inc,/quote/ORLY?p=ORLY,ORLY,4.88%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),SBA Communications Corp,/quote/SBAC?p=SBAC,SBAC,4.79%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),Roper Technologies Inc,/quote/ROP?p=ROP,ROP,4.19%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),Constellation Software Inc,/quote/CSU.TO?p=CSU.TO,CSU.TO,4.08%,,
AKRSX,Akre Focus Fund Supra Institutional Class (AKRSX),Markel Corp,/quote/MKL?p=MKL,MKL,3.89%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,9.37%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,7.91%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Apple Inc,/quote/AAPL?p=AAPL,AAPL,5.48%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Salesforce.com Inc,/quote/CRM?p=CRM,CRM,4.99%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Visa Inc Class A,/quote/V?p=V,V,4.85%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,4.79%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Facebook Inc A,/quote/FB?p=FB,FB,4.53%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Alibaba Group Holding Ltd ADR,/quote/BABA?p=BABA,BABA,4.50%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),Adobe Inc,/quote/ADBE?p=ADBE,ADBE,3.55%,,
ALAFX,Alger Focus Equity Fund Class A (ALAFX),PayPal Holdings Inc,/quote/PYPL?p=PYPL,PYPL,2.60%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,9.37%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,7.91%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Apple Inc,/quote/AAPL?p=AAPL,AAPL,5.48%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Salesforce.com Inc,/quote/CRM?p=CRM,CRM,4.99%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Visa Inc Class A,/quote/V?p=V,V,4.85%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,4.79%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Facebook Inc A,/quote/FB?p=FB,FB,4.53%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Alibaba Group Holding Ltd ADR,/quote/BABA?p=BABA,BABA,4.50%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),Adobe Inc,/quote/ADBE?p=ADBE,ADBE,3.55%,,
ALCFX,Alger Focus Equity Fund Class C (ALCFX),PayPal Holdings Inc,/quote/PYPL?p=PYPL,PYPL,2.60%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,6.95%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,6.95%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Facebook Inc A,/quote/FB?p=FB,FB,5.23%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),UnitedHealth Group Inc,/quote/UNH?p=UNH,UNH,4.35%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Visa Inc Class A,/quote/V?p=V,V,4.34%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Monster Beverage Corp,/quote/MNST?p=MNST,MNST,3.87%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Zoetis Inc Class A,/quote/ZTS?p=ZTS,ZTS,3.79%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Vertex Pharmaceuticals Inc,/quote/VRTX?p=VRTX,VRTX,3.67%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,3.60%,,
ALCKX,AB Large Cap Growth Fund Class K (ALCKX),Intuitive Surgical Inc,/quote/ISRG?p=ISRG,ISRG,3.31%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,9.37%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,7.91%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Apple Inc,/quote/AAPL?p=AAPL,AAPL,5.48%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Salesforce.com Inc,/quote/CRM?p=CRM,CRM,4.99%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Visa Inc Class A,/quote/V?p=V,V,4.85%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,4.79%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Facebook Inc A,/quote/FB?p=FB,FB,4.53%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Alibaba Group Holding Ltd ADR,/quote/BABA?p=BABA,BABA,4.50%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),Adobe Inc,/quote/ADBE?p=ADBE,ADBE,3.55%,,
ALGRX,Alger Focus Equity Fund Class I (ALGRX),PayPal Holdings Inc,/quote/PYPL?p=PYPL,PYPL,2.60%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,9.37%,,
